date,NINO,APORTES,ENERGY_PRICE
2000-01-01,-1.79,884.252935483871,36.77877993548389
2000-02-01,-1.53,981.5983793103449,40.261476827586215
2000-03-01,-1.26,1088.701935483871,37.637297376344094
2000-04-01,-0.8,998.995,44.29805744444445
2000-05-01,-0.8,1723.73,37.29112184946237
2000-06-01,-0.75,1375.755,39.9932027638889
2000-07-01,-0.57,1126.2835483870967,42.801140806451606
2000-08-01,-0.36,1248.443225806452,49.070172247311824
2000-09-01,-0.39,1118.5696666666663,59.53525166666665
2000-10-01,-0.55,977.8412903225806,48.42078824731182
2000-11-01,-0.75,1048.7816666666668,45.39779070833333
2000-12-01,-0.92,783.619696394687,55.40978918279569
2001-01-01,-0.88,539.6709677419356,70.60665351612904
2001-02-01,-0.63,487.2446428571429,86.04176400000001
2001-03-01,-0.48,792.7690322580645,70.62400477419357
2001-04-01,-0.3,732.1716666666665,67.14124172222225
2001-05-01,-0.3,1082.5441935483868,50.00543716129033
2001-06-01,-0.11,1367.031,43.02527800000001
2001-07-01,0.01,1059.5283870967744,39.87171288172044
2001-08-01,-0.07,1115.2525806451613,38.96622711827957
2001-09-01,-0.28,935.697,45.30853116666666
2001-10-01,-0.26,781.3164516129032,46.79236440860216
2001-11-01,-0.28,1052.345,38.96203355555557
2001-12-01,-0.46,1615.1581451612903,35.05497249462366
2002-01-01,-0.14,730.72,38.70992283870969
2002-02-01,0.0,527.3714285714286,56.64558720238095
2002-03-01,0.11,826.8264516129032,52.869984967741935
2002-04-01,0.14,1696.4249999999995,48.44514172222224
2002-05-01,0.21,1805.1361290322584,39.42040721505375
2002-06-01,0.68,2371.3666666666663,35.13288577777779
2002-07-01,0.57,1857.036451612903,42.15307365591398
2002-08-01,0.7,1692.191935483871,45.40600548387098
2002-09-01,0.82,1264.928666666667,49.05839005555558
2002-10-01,1.16,1299.9512903225807,60.21958511827957
2002-11-01,1.41,1301.1443000000002,53.04030677777779
2002-12-01,1.41,1139.8666774193548,64.10013347311826
2003-01-01,0.98,600.1815774193548,69.11900180645164
2003-02-01,0.64,603.3608714285713,71.96138294047618
2003-03-01,0.48,785.6370741935484,76.83774978494621
2003-04-01,-0.03,1424.8493,80.1186462222222
2003-05-01,-0.52,1994.2841290322576,69.47551355913978
2003-06-01,-0.19,1857.6583666666663,64.70255361111113
2003-07-01,0.14,1897.6686774193545,69.92515717204299
2003-08-01,0.05,1440.5006451612903,65.20440784946234
2003-09-01,0.15,1513.048633333333,62.49289883333333
2003-10-01,0.46,1887.5750322580643,55.49408678494625
2003-11-01,0.39,1812.5325,63.66732772222222
2003-12-01,0.32,1582.1754838709678,52.346394150537634
2004-01-01,0.26,1015.2290322580644,58.87687567741936
2004-02-01,0.17,659.2813793103448,70.40081575862067
2004-03-01,-0.1,800.4751612903226,73.14546574193547
2004-04-01,0.06,1472.6887,70.654513
2004-05-01,0.1,1908.7633548387096,72.12580626881721
2004-06-01,0.14,2278.093666666666,51.34673188888889
2004-07-01,0.41,1771.4392903225803,52.8359307204301
2004-08-01,0.66,1732.333677419355,53.98454622580645
2004-09-01,0.67,1458.7115333333334,60.11169638888888
2004-10-01,0.73,1614.561,71.77283973118276
2004-11-01,0.62,2066.932866666667,67.38508438888888
2004-12-01,0.71,1447.663935483871,67.57161937634409
2005-01-01,0.56,1077.8112903225806,82.78205547311832
2005-02-01,0.26,1237.593357142857,73.86437828571425
2005-03-01,0.28,1031.7641935483873,69.21760983870965
2005-04-01,0.28,1538.7875,68.32830544444441
2005-05-01,0.3,1968.1382903225808,69.39889759139787
2005-06-01,0.22,1966.199933333333,59.05737277777777
2005-07-01,-0.01,1538.096,77.80062675268819
2005-08-01,-0.04,1546.745,85.8283337311828
2005-09-01,-0.08,1523.8857,87.75673088888885
2005-10-01,-0.15,1980.7044193548384,81.2168141935484
2005-11-01,-0.44,2237.3164666666667,56.20127394444447
2005-12-01,-0.75,1614.0878709677422,79.96953117204299
2006-01-01,-0.98,1260.4601935483872,79.0264871935484
2006-02-01,-0.71,1094.8345714285715,75.52091904761903
2006-03-01,-0.73,1675.753806451613,65.7874476236559
2006-04-01,-0.3,2125.725966666667,54.01196816666667
2006-05-01,-0.11,2339.684967741936,53.73773859139783
2006-06-01,0.09,2363.2664,52.985621055555576
2006-07-01,0.03,1935.0271612903225,59.31640294623657
2006-08-01,0.37,1425.2477096774192,66.5327544623656
2006-09-01,0.62,1361.7676666666669,103.44861244444442
2006-10-01,0.76,1617.1746129032258,130.5117015698925
2006-11-01,0.98,2078.0477,80.43596811111111
2006-12-01,1.1,1831.2145483870968,64.23784768817204
2007-01-01,0.59,1054.0819032258064,88.4634188064516
2007-02-01,0.12,616.6976785714285,106.98867625
2007-03-01,-0.15,1021.9474838709676,100.79190553763443
2007-04-01,-0.16,2018.8129666666664,91.82196516666664
2007-05-01,-0.39,2465.4943870967745,74.92841674193551
2007-06-01,-0.16,2818.833433333334,75.86059083333335
2007-07-01,-0.37,1846.643580645161,80.26138731182796
2007-08-01,-0.57,1864.719419354839,85.21333926881718
2007-09-01,-1.04,1634.8998666666666,74.03187861111111
2007-10-01,-1.41,2286.0155161290327,80.52224479569892
2007-11-01,-1.58,2187.953733333333,62.60941055555557
2007-12-01,-1.61,1858.0136129032253,85.05587180645159
2008-01-01,-1.79,1245.6737096774193,95.31448808602148
2008-02-01,-1.7,1391.271068965517,100.63301501149422
2008-03-01,-1.17,1404.5013225806451,89.54313483870969
2008-04-01,-0.89,1564.9079,102.94095199722224
2008-05-01,-0.64,2355.672225806452,96.52427075268815
2008-06-01,-0.44,2484.3070666666667,76.02115527777775
2008-07-01,-0.04,2648.9030967741937,62.64224702150536
2008-08-01,-0.04,1896.3888387096777,73.0971862043011
2008-09-01,-0.28,1754.9332333333334,80.72590626111113
2008-10-01,-0.3,2065.3105806451613,82.866759
2008-11-01,-0.37,2609.8831,87.22603255555558
2008-12-01,-0.9,1821.6802258064515,107.64402849462364
2009-01-01,-1.0,1638.175548387097,133.1804702473118
2009-02-01,-0.71,1422.5435000000002,122.25375114285714
2009-03-01,-0.72,1821.467129032258,108.17769748387096
2009-04-01,-0.25,1757.3179,88.94394527777779
2009-05-01,0.17,1753.2455483870967,118.08310166666668
2009-06-01,0.49,1933.696333333333,125.58334211111112
2009-07-01,0.69,1964.0463548387097,125.51687345161292
2009-08-01,0.62,1660.5015806451613,127.68792277419352
2009-09-01,0.68,1118.3246,182.5095005
2009-10-01,0.96,1242.8113548387096,189.93442636559132
2009-11-01,1.49,1524.3416666666667,152.52863128888887
2009-12-01,1.81,953.598741935484,195.0491639892473
2010-01-01,1.43,531.9025483870969,152.2578755806451
2010-02-01,1.18,556.6923571428572,195.59115854761905
2010-03-01,1.07,778.5531290322581,189.981887
2010-04-01,0.56,1527.9917666666663,195.5365247
2010-05-01,-0.15,1837.990419354839,150.3243332580645
2010-06-01,-0.62,1980.9497,91.33092138888888
2010-07-01,-0.89,2188.378387096774,82.94435402150538
2010-08-01,-1.33,1757.992483870968,84.85816305376345
2010-09-01,-1.56,1801.1704333333332,112.30941277777778
2010-10-01,-1.65,1712.6432258064517,136.52222272043014
2010-11-01,-1.57,2827.9955,92.01793782222222
2010-12-01,-1.63,2388.1683870967745,66.69853210752687
2011-01-01,-1.7,1266.9142980030722,89.4705183655914
2011-02-01,-1.26,1213.5605714285714,105.68437985714286
2011-03-01,-0.98,1753.670548387097,79.7267019032258
2011-04-01,-0.74,3061.683433333333,73.41635112222222
2011-05-01,-0.53,2736.952806451613,58.49071407526881
2011-06-01,-0.25,2265.8721333333337,60.06163481111111
2011-07-01,-0.23,2088.7333548387096,55.51386178494624
2011-08-01,-0.66,1546.916516129032,88.97861669892472
2011-09-01,-0.76,1607.1403333333333,92.50953437777778
2011-10-01,-0.93,1932.830548387097,72.86567944086022
2011-11-01,-1.09,2511.3066,70.53858275555555
2011-12-01,-1.05,2928.7986129032256,55.75605648387096
2012-01-01,-0.93,1798.5300645161287,53.61037947311828
2012-02-01,-0.61,1171.9528965517238,78.49598144827586
2012-03-01,-0.48,1443.515483870968,119.10521388172045
2012-04-01,-0.29,2460.5596,56.99427418888888
2012-05-01,-0.18,2284.874064516129,46.85869274193549
2012-06-01,0.14,1671.2307,87.35270906666666
