date,NINO,ENERGY_PRICE
2000-01-01,-1.79,36.77877993548389
2000-02-01,-1.53,40.261476827586215
2000-03-01,-1.26,37.637297376344094
2000-04-01,-0.8,44.29805744444445
2000-05-01,-0.8,37.29112184946237
2000-06-01,-0.75,39.9932027638889
2000-07-01,-0.57,42.801140806451606
2000-08-01,-0.36,49.070172247311824
2000-09-01,-0.39,59.53525166666665
2000-10-01,-0.55,48.42078824731182
2000-11-01,-0.75,45.39779070833333
2000-12-01,-0.92,55.40978918279569
2001-01-01,-0.88,70.60665351612904
2001-02-01,-0.63,86.04176400000001
2001-03-01,-0.48,70.62400477419357
2001-04-01,-0.3,67.14124172222225
2001-05-01,-0.3,50.00543716129033
2001-06-01,-0.11,43.02527800000001
2001-07-01,0.01,39.87171288172044
2001-08-01,-0.07,38.96622711827957
2001-09-01,-0.28,45.30853116666666
2001-10-01,-0.26,46.79236440860216
2001-11-01,-0.28,38.96203355555557
2001-12-01,-0.46,35.05497249462366
2002-01-01,-0.14,38.70992283870969
2002-02-01,0.0,56.64558720238095
2002-03-01,0.11,52.869984967741935
2002-04-01,0.14,48.44514172222224
2002-05-01,0.21,39.42040721505375
2002-06-01,0.68,35.13288577777779
2002-07-01,0.57,42.15307365591398
2002-08-01,0.7,45.40600548387098
2002-09-01,0.82,49.05839005555558
2002-10-01,1.16,60.21958511827957
2002-11-01,1.41,53.04030677777779
2002-12-01,1.41,64.10013347311826
2003-01-01,0.98,69.11900180645164
2003-02-01,0.64,71.96138294047618
2003-03-01,0.48,76.83774978494621
2003-04-01,-0.03,80.1186462222222
2003-05-01,-0.52,69.47551355913978
2003-06-01,-0.19,64.70255361111113
2003-07-01,0.14,69.92515717204299
2003-08-01,0.05,65.20440784946234
2003-09-01,0.15,62.49289883333333
2003-10-01,0.46,55.49408678494625
2003-11-01,0.39,63.66732772222222
2003-12-01,0.32,52.346394150537634
2004-01-01,0.26,58.87687567741936
2004-02-01,0.17,70.40081575862067
2004-03-01,-0.1,73.14546574193547
2004-04-01,0.06,70.654513
2004-05-01,0.1,72.12580626881721
2004-06-01,0.14,51.34673188888889
2004-07-01,0.41,52.8359307204301
2004-08-01,0.66,53.98454622580645
2004-09-01,0.67,60.11169638888888
2004-10-01,0.73,71.77283973118276
2004-11-01,0.62,67.38508438888888
2004-12-01,0.71,67.57161937634409
2005-01-01,0.56,82.78205547311832
2005-02-01,0.26,73.86437828571425
2005-03-01,0.28,69.21760983870965
2005-04-01,0.28,68.32830544444441
2005-05-01,0.3,69.39889759139787
2005-06-01,0.22,59.05737277777777
2005-07-01,-0.01,77.80062675268819
2005-08-01,-0.04,85.8283337311828
2005-09-01,-0.08,87.75673088888885
2005-10-01,-0.15,81.2168141935484
2005-11-01,-0.44,56.20127394444447
2005-12-01,-0.75,79.96953117204299
2006-01-01,-0.98,79.0264871935484
2006-02-01,-0.71,75.52091904761903
2006-03-01,-0.73,65.7874476236559
2006-04-01,-0.3,54.01196816666667
2006-05-01,-0.11,53.73773859139783
2006-06-01,0.09,52.985621055555576
2006-07-01,0.03,59.31640294623657
2006-08-01,0.37,66.5327544623656
2006-09-01,0.62,103.44861244444442
2006-10-01,0.76,130.5117015698925
2006-11-01,0.98,80.43596811111111
2006-12-01,1.1,64.23784768817204
2007-01-01,0.59,88.4634188064516
2007-02-01,0.12,106.98867625
2007-03-01,-0.15,100.79190553763443
2007-04-01,-0.16,91.82196516666664
2007-05-01,-0.39,74.92841674193551
2007-06-01,-0.16,75.86059083333335
2007-07-01,-0.37,80.26138731182796
2007-08-01,-0.57,85.21333926881718
2007-09-01,-1.04,74.03187861111111
2007-10-01,-1.41,80.52224479569892
2007-11-01,-1.58,62.60941055555557
2007-12-01,-1.61,85.05587180645159
2008-01-01,-1.79,95.31448808602148
2008-02-01,-1.7,100.63301501149422
2008-03-01,-1.17,89.54313483870969
2008-04-01,-0.89,102.94095199722224
2008-05-01,-0.64,96.52427075268815
2008-06-01,-0.44,76.02115527777775
2008-07-01,-0.04,62.64224702150536
2008-08-01,-0.04,73.0971862043011
2008-09-01,-0.28,80.72590626111113
2008-10-01,-0.3,82.866759
2008-11-01,-0.37,87.22603255555558
2008-12-01,-0.9,107.64402849462364
2009-01-01,-1.0,133.1804702473118
2009-02-01,-0.71,122.25375114285714
2009-03-01,-0.72,108.17769748387096
2009-04-01,-0.25,88.94394527777779
2009-05-01,0.17,118.08310166666668
2009-06-01,0.49,125.58334211111112
