date,RONI,ENERGY_PRICE,APORTES,GENERATION
2000-01-01,-1.79,36.77877993548389,105592211.1111111,79443952.64128096
2000-02-01,-1.53,40.261476827586215,110757544.44444443,71462422.51085971
2000-03-01,-1.26,37.637297376344094,125186700.0,83868386.83170825
2000-04-01,-0.8,44.29805744444445,134980622.2222222,75083747.29143034
2000-05-01,-0.8,37.29112184946237,267661166.66666663,87221263.57411297
2000-06-01,-0.75,39.9932027638889,271642366.6666667,85245094.55369109
2000-07-01,-0.57,42.801140806451606,263833182.3529412,87935321.4938632
2000-08-01,-0.36,49.070172247311824,247242511.1111111,78139988.56660193
2000-09-01,-0.39,59.53525166666665,249839066.66666663,54139202.552368894
2000-10-01,-0.55,48.42078824731182,208389322.2222222,49151824.629552014
2000-11-01,-0.75,45.39779070833333,184475133.3333333,48445480.87118177
2000-12-01,-0.92,55.40978918279569,108737680.0,52062902.03659903
2001-01-01,-0.88,70.60665351612904,72361352.38095239,46920231.4347411
2001-02-01,-0.63,86.04176400000001,55238357.14285714,43313106.34452673
2001-03-01,-0.48,70.62400477419357,91997519.04761904,48212617.11063448
2001-04-01,-0.3,67.14124172222225,94512200.0,47181073.12719738
2001-05-01,-0.3,50.00543716129033,176018090.47619048,50069799.671105966
2001-06-01,-0.11,43.02527800000001,196838328.57142857,47633469.32301745
2001-07-01,0.01,39.87171288172044,177234085.7142857,50467797.50828978
2001-08-01,-0.07,38.96622711827957,176078766.66666666,53344853.18833672
2001-09-01,-0.28,45.30853116666666,161459780.95238096,51986664.38196768
2001-10-01,-0.26,46.79236440860216,133942052.3809524,50031816.43404259
2001-11-01,-0.28,38.96203355555557,157685095.23809522,46798730.10083456
2001-12-01,-0.46,35.05497249462366,140881691.3043478,52946841.60808368
2002-01-01,-0.14,38.70992283870969,74753265.2173913,49489199.69309016
2002-02-01,0.0,56.64558720238095,55656134.782608695,42726326.63502774
2002-03-01,0.11,52.869984967741935,91052178.26086956,45091855.04100204
2002-04-01,0.14,48.44514172222224,173959313.04347825,44049661.11072988
2002-05-01,0.21,39.42040721505375,207348330.4347826,47518156.72327531
2002-06-01,0.68,35.13288577777779,274762369.5652174,45121619.44879084
2002-07-01,0.57,42.15307365591398,206436221.73913044,48117223.41523231
2002-08-01,0.7,45.40600548387098,195789195.6521739,49440084.67609015
2002-09-01,0.82,49.05839005555558,135227330.4347826,49669411.253675565
2002-10-01,1.16,60.21958511827957,127786786.95652172,47633618.88722394
2002-11-01,1.41,53.04030677777779,123802008.69565216,47150047.82503939
2002-12-01,1.41,64.10013347311826,94326962.5,46889510.89523889
2003-01-01,0.98,69.11900180645164,48869779.16666666,45349518.81938225
2003-02-01,0.64,71.96138294047618,49381441.66666666,39982495.08035654
2003-03-01,0.48,76.83774978494621,81381404.16666667,46367282.77054082
2003-04-01,-0.03,80.1186462222222,154008654.16666666,41915778.5574841
2003-05-01,-0.52,69.47551355913978,218973754.16666663,43434320.28084096
2003-06-01,-0.19,64.70255361111113,200691520.8333333,43633642.45743408
2003-07-01,0.14,69.92515717204299,185736825.0,46129474.657426365
2003-08-01,0.05,65.20440784946234,163599004.16666666,45176151.703739166
2003-09-01,0.15,62.49289883333333,146319195.83333334,44637753.593820326
2003-10-01,0.46,55.49408678494625,188355570.8333333,46488152.11444832
2003-11-01,0.39,63.66732772222222,164929058.33333334,45010543.605639726
2003-12-01,0.32,52.346394150537634,143975700.0,44374918.109086834
2004-01-01,0.26,58.87687567741936,87233629.16666667,43037451.35022975
2004-02-01,0.17,70.40081575862067,65133979.16666666,40373189.67058291
2004-03-01,-0.1,73.14546574193547,98161545.83333331,40796692.43583414
2004-04-01,0.06,70.654513,150870845.83333334,40962694.29143603
2004-05-01,0.1,72.12580626881721,242843583.3333333,39697597.98362317
2004-06-01,0.14,51.34673188888889,267010204.16666663,38393399.17724832
2004-07-01,0.41,52.8359307204301,214961470.8333333,40724640.72159906
2004-08-01,0.66,53.98454622580645,195215016.66666663,40886901.41324071
2004-09-01,0.67,60.11169638888888,170842675.0,36993533.21047563
2004-10-01,0.73,71.77283973118276,188585362.5,39830920.01749889
2004-11-01,0.62,67.38508438888888,210922087.5,38484539.48741159
2004-12-01,0.71,67.57161937634409,123637775.0,40280509.693213575
2005-01-01,0.56,82.78205547311832,92736425.0,39289692.99526151
2005-02-01,0.26,73.86437828571425,83554508.33333333,37175707.93312317
2005-03-01,0.28,69.21760983870965,79371850.0,40586425.25204875
