date,RONI,ENERGY_PRICE,APORTES
2000-01-01,-1.79,36.77877993548389,105592211.1111111
2000-02-01,-1.53,40.261476827586215,110757544.44444443
2000-03-01,-1.26,37.637297376344094,125186700.0
2000-04-01,-0.8,44.29805744444445,134980622.2222222
2000-05-01,-0.8,37.29112184946237,267661166.66666663
2000-06-01,-0.75,39.9932027638889,271642366.6666667
2000-07-01,-0.57,42.801140806451606,263833182.3529412
2000-08-01,-0.36,49.070172247311824,247242511.1111111
2000-09-01,-0.39,59.53525166666665,249839066.66666663
2000-10-01,-0.55,48.42078824731182,208389322.2222222
2000-11-01,-0.75,45.39779070833333,184475133.3333333
2000-12-01,-0.92,55.40978918279569,108737680.0
2001-01-01,-0.88,70.60665351612904,72361352.38095239
2001-02-01,-0.63,86.04176400000001,55238357.14285714
2001-03-01,-0.48,70.62400477419357,91997519.04761904
2001-04-01,-0.3,67.14124172222225,94512200.0
2001-05-01,-0.3,50.00543716129033,176018090.47619048
2001-06-01,-0.11,43.02527800000001,196838328.57142857
2001-07-01,0.01,39.87171288172044,177234085.7142857
2001-08-01,-0.07,38.96622711827957,176078766.66666666
2001-09-01,-0.28,45.30853116666666,161459780.95238096
2001-10-01,-0.26,46.79236440860216,133942052.3809524
2001-11-01,-0.28,38.96203355555557,157685095.23809522
2001-12-01,-0.46,35.05497249462366,140881691.3043478
2002-01-01,-0.14,38.70992283870969,74753265.2173913
2002-02-01,0.0,56.64558720238095,55656134.782608695
2002-03-01,0.11,52.869984967741935,91052178.26086956
2002-04-01,0.14,48.44514172222224,173959313.04347825
2002-05-01,0.21,39.42040721505375,207348330.4347826
2002-06-01,0.68,35.13288577777779,274762369.5652174
2002-07-01,0.57,42.15307365591398,206436221.73913044
2002-08-01,0.7,45.40600548387098,195789195.6521739
2002-09-01,0.82,49.05839005555558,135227330.4347826
2002-10-01,1.16,60.21958511827957,127786786.95652172
2002-11-01,1.41,53.04030677777779,123802008.69565216
2002-12-01,1.41,64.10013347311826,94326962.5
2003-01-01,0.98,69.11900180645164,48869779.16666666
2003-02-01,0.64,71.96138294047618,49381441.66666666
2003-03-01,0.48,76.83774978494621,81381404.16666667
2003-04-01,-0.03,80.1186462222222,154008654.16666666
2003-05-01,-0.52,69.47551355913978,218973754.16666663
2003-06-01,-0.19,64.70255361111113,200691520.8333333
2003-07-01,0.14,69.92515717204299,185736825.0
2003-08-01,0.05,65.20440784946234,163599004.16666666
2003-09-01,0.15,62.49289883333333,146319195.83333334
2003-10-01,0.46,55.49408678494625,188355570.8333333
2003-11-01,0.39,63.66732772222222,164929058.33333334
2003-12-01,0.32,52.346394150537634,143975700.0
2004-01-01,0.26,58.87687567741936,87233629.16666667
2004-02-01,0.17,70.40081575862067,65133979.16666666
2004-03-01,-0.1,73.14546574193547,98161545.83333331
2004-04-01,0.06,70.654513,150870845.83333334
2004-05-01,0.1,72.12580626881721,242843583.3333333
2004-06-01,0.14,51.34673188888889,267010204.16666663
2004-07-01,0.41,52.8359307204301,214961470.8333333
2004-08-01,0.66,53.98454622580645,195215016.66666663
2004-09-01,0.67,60.11169638888888,170842675.0
2004-10-01,0.73,71.77283973118276,188585362.5
2004-11-01,0.62,67.38508438888888,210922087.5
2004-12-01,0.71,67.57161937634409,123637775.0
2005-01-01,0.56,82.78205547311832,92736425.0
2005-02-01,0.26,73.86437828571425,83554508.33333333
2005-03-01,0.28,69.21760983870965,79371850.0
2005-04-01,0.28,68.32830544444441,145371800.0
2005-05-01,0.3,69.39889759139787,234081370.8333333
2005-06-01,0.22,59.05737277777777,201853541.66666663
2005-07-01,-0.01,77.80062675268819,147502629.16666666
2005-08-01,-0.04,85.8283337311828,162904325.0
2005-09-01,-0.08,87.75673088888885,171338162.5
2005-10-01,-0.15,81.2168141935484,200041612.5
2005-11-01,-0.44,56.20127394444447,233912758.3333333
2005-12-01,-0.75,79.96953117204299,119584125.0
2006-01-01,-0.98,79.0264871935484,98491895.83333331
2006-02-01,-0.71,75.52091904761903,76177691.66666667
2006-03-01,-0.73,65.7874476236559,144172262.5
2006-04-01,-0.3,54.01196816666667,224461054.16666663
2006-05-01,-0.11,53.73773859139783,286389841.6666667
2006-06-01,0.09,52.985621055555576,254967912.5
2006-07-01,0.03,59.31640294623657,200464683.3333333
2006-08-01,0.37,66.5327544623656,151686695.83333334
2006-09-01,0.62,103.44861244444442,135778950.0
2006-10-01,0.76,130.5117015698925,201455745.8333333
2006-11-01,0.98,80.43596811111111,214976558.3333333
2006-12-01,1.1,64.23784768817204,141153854.16666666
2007-01-01,0.59,88.4634188064516,92077354.16666669
2007-02-01,0.12,106.98867625,50943404.16666666
2007-03-01,-0.15,100.79190553763443,90761237.5
2007-04-01,-0.16,91.82196516666664,175372912.5
2007-05-01,-0.39,74.92841674193551,233418370.8333333
2007-06-01,-0.16,75.86059083333335,251048920.8333333
2007-07-01,-0.37,80.26138731182796,177256550.0
2007-08-01,-0.57,85.21333926881718,197531587.5
2007-09-01,-1.04,74.03187861111111,177360370.83333334
2007-10-01,-1.41,80.52224479569892,243747650.0
2007-11-01,-1.58,62.60941055555557,199788754.16666663
2007-12-01,-1.61,85.05587180645159,158486937.5
2008-01-01,-1.79,95.31448808602148,109311004.16666669
2008-02-01,-1.7,100.63301501149422,106305858.33333331
2008-03-01,-1.17,89.54313483870969,121424158.33333331
2008-04-01,-0.89,102.94095199722224,134848091.66666666
2008-05-01,-0.64,96.52427075268815,235488416.66666663
2008-06-01,-0.44,76.02115527777775,276696712.5
2008-07-01,-0.04,62.64224702150536,303842512.5
2008-08-01,-0.04,73.0971862043011,234667433.3333333
2008-09-01,-0.28,80.72590626111113,193547079.16666663
2008-10-01,-0.3,82.866759,225691395.8333333
2008-11-01,-0.37,87.22603255555558,287659062.5
2008-12-01,-0.9,107.64402849462364,161742383.33333334
2009-01-01,-1.0,133.1804702473118,141683450.0
2009-02-01,-0.71,122.25375114285714,110531375.0
2009-03-01,-0.72,108.17769748387096,144651395.83333334
2009-04-01,-0.25,88.94394527777779,169050900.0
2009-05-01,0.17,118.08310166666668,168751508.33333334
2009-06-01,0.49,125.58334211111112,193418325.0
2009-07-01,0.69,125.51687345161292,211861554.16666663
2009-08-01,0.62,127.68792277419352,186417370.8333333
2009-09-01,0.68,182.5095005,120065958.33333331
2009-10-01,0.96,189.93442636559135,133311537.5
2009-11-01,1.49,152.52863128888887,136357858.33333334
2009-12-01,1.81,195.0491639892473,81357779.16666667
2010-01-01,1.43,152.2578755806451,50899016.66666666
2010-02-01,1.18,195.59115854761905,46771112.5
2010-03-01,1.07,189.981887,74935845.83333333
2010-04-01,0.56,195.5365247,145395837.5
2010-05-01,-0.15,150.3243332580645,199747091.66666663
2010-06-01,-0.62,91.33092138888888,226102666.66666663
2010-07-01,-0.89,82.94435402150538,275701654.1666667
2010-08-01,-1.33,84.85816305376345,195689033.3333333
2010-09-01,-1.56,112.30941277777778,205658016.66666663
2010-10-01,-1.65,136.52222272043014,209051879.16666663
2010-11-01,-1.57,92.01793782222222,310121433.3333333
2010-12-01,-1.63,66.69853210752687,239282883.3333333
2011-01-01,-1.7,89.4705183655914,127149856.0
2011-02-01,-1.26,105.68437985714286,111334684.0
2011-03-01,-0.98,79.7267019032258,219935908.0
2011-04-01,-0.74,73.41635112222222,390734852.0
2011-05-01,-0.53,58.49071407526881,356421564.0
2011-06-01,-0.25,60.06163481111111,274257600.0
2011-07-01,-0.23,55.51386178494624,225647228.0
2011-08-01,-0.66,88.97861669892472,196109760.0
2011-09-01,-0.76,92.50953437777778,185397872.0
2011-10-01,-0.93,72.86567944086022,261099484.0
2011-11-01,-1.09,70.53858275555555,301793332.0
2011-12-01,-1.05,55.75605648387096,290496748.0
2012-01-01,-0.93,53.61037947311828,160228556.0
2012-02-01,-0.61,78.49598144827586,103533872.0
2012-03-01,-0.48,119.10521388172045,152233400.0
2012-04-01,-0.29,56.99427418888888,297092576.0
2012-05-01,-0.18,46.85869274193549,305047172.0
2012-06-01,0.14,87.35270906666666,196441060.0
2012-07-01,0.44,79.17754592473118,229270624.0
2012-08-01,0.66,140.26220102150538,219813780.0
2012-09-01,0.44,183.3778401333333,133640388.0
2012-10-01,0.23,198.00380627956991,181582540.0
2012-11-01,0.33,166.9982269888889,156006872.0
2012-12-01,-0.13,180.3391705376344,118083832.0
2013-01-01,-0.42,184.45569695698924,70305916.0
2013-02-01,-0.4,181.17711414285716,91385276.0
2013-03-01,-0.14,137.53884632258064,120747888.0
2013-04-01,-0.08,229.82422287777777,123106244.0
2013-05-01,-0.28,139.81515178494627,256239584.6153846
2013-06-01,-0.33,143.10235772222222,169534166.66666666
2013-07-01,-0.28,232.1402435376344,168674885.1851852
2013-08-01,-0.29,150.55001888172043,206113081.4814815
2013-09-01,-0.09,144.20590491111113,160531244.44444445
2013-10-01,-0.24,211.9383313333333,155108111.1111111
2013-11-01,-0.02,210.38550514444444,187335692.5925926
2013-12-01,-0.09,164.0329949139785,161971311.1111111
2014-01-01,-0.42,160.47509748387097,97730974.07407407
2014-02-01,-0.45,187.96510933333332,93001029.62962964
2014-03-01,-0.07,151.3030924301075,120774044.44444443
