date,Generacion,GeneracionHidraulica,GeneracionTermica
2017-11-01,35681430.928320214,39875965.1286236,34356270.12607902
2017-12-01,37343271.05363489,42053390.46997587,33534122.109229855
2018-01-01,36405871.331477255,40028898.47683071,39287176.787920065
2018-02-01,33702196.91615288,34777297.09647177,45684014.98659314
2018-03-01,36330734.82750212,38739374.99225807,42695811.50077266
2018-04-01,35408621.83435154,40722348.923742644,29430218.737507626
2018-05-01,36571518.288521856,41107447.421912625,32144040.841260377
2018-06-01,34864868.37936218,39555555.67475097,30442294.888112437
2018-07-01,33542605.902353395,38459627.13636417,26610512.65842606
2018-08-01,33864240.17647683,38431498.489434674,29196460.00865876
2018-09-01,33250686.840375192,37592144.34861266,30843652.531091675
2018-10-01,32816394.996280972,37506417.92540597,28083299.220015425
2018-11-01,31811088.279222332,36732027.76491434,24388773.461121377
2018-12-01,29701090.416101374,32517459.743422702,30418814.574458227
2019-01-01,32781890.605625644,33717345.59390997,40476433.4426272
2019-02-01,29998461.892198063,31462020.567169797,35255203.36743357
2019-03-01,33742827.47166077,36527343.18391041,36854612.8066817
2019-04-01,33365657.976701528,37549790.51050651,29473282.15466425
2019-05-01,34921835.37084661,39550578.00944444,27877301.61485154
2019-06-01,33599708.60888711,39855251.126843356,22137199.7170811
2019-07-01,35929767.94988069,42538779.64918141,24991371.932063214
2019-08-01,36963178.01559183,42954213.32004776,28960580.22096805
2019-09-01,35229610.61433844,39635968.85161717,34284007.612328365
2019-10-01,34932935.59824749,37671635.6845426,39091707.5530882
2019-11-01,32956550.0939256,35748125.44794255,35791716.34692214
2019-12-01,32864689.407944277,34052670.37656854,41637371.55605342
2020-01-01,32992941.81421951,33159377.47541216,42720741.24954539
2020-02-01,31977251.80573936,30345330.709789686,44964943.50117155
2020-03-01,32969613.500033595,32003704.465865474,45489730.800635755
2020-04-01,28272066.70664178,28000435.780562215,37865863.035290584
2020-05-01,30531720.640527256,28943907.860069048,41984769.513268255
2020-06-01,28366221.80537399,27135087.780538373,40533043.75060363
2020-07-01,32028714.778197087,36284244.99815623,29203597.065468457
2020-08-01,33250013.293600228,36968771.48885439,34828351.42609109
2020-09-01,32097989.028989863,34419555.24926711,38692450.28219251
2020-10-01,34260966.22380813,36773142.456860445,42536360.11088387
2020-11-01,34530391.11042764,38959624.50986212,36551375.51160868
2020-12-01,33431636.51125899,37765160.39970708,37287574.6016429
2021-01-01,32672693.60356604,36633250.039919436,36626035.32673107
2021-02-01,29401334.246897202,30932290.459679853,39569493.51633208
2021-03-01,32614682.8797727,37159749.98343974,33494572.6426184
2021-04-01,31585675.57986459,36210474.94868087,31546867.947957333
2021-05-01,35075718.66726983,39503598.53327414,31197308.79515956
2021-06-01,33713146.7344447,39984389.98437115,29242222.95425528
2021-07-01,34688036.47252335,41150737.447529435,30686472.199244782
2021-08-01,34958499.706020564,42175395.7905767,29119538.964164745
2021-09-01,35522889.16318037,44139017.314551026,26494706.585016467
2021-10-01,35679827.746740684,44453518.17789787,26405650.354803108
2021-11-01,34690717.55194985,42332052.27034895,27915401.210680533
2021-12-01,33329168.133442894,38764586.89700705,33876318.01952231
2022-01-01,32781802.77406778,37893698.6296845,33886813.014313295
2022-02-01,30577123.148334652,34965668.39381396,34126436.80303455
2022-03-01,33856307.34170575,42145680.07361811,26493020.040585972
2022-04-01,34310765.22748342,42057526.31703536,27846352.5311797
2022-05-01,34921678.56772111,42804101.30883521,27054390.28229429
2022-06-01,32254615.964615706,39933868.909433976,27048582.118871506
2022-07-01,33273192.169998445,40958075.74933279,30259694.594586678
2022-08-01,32807964.98615933,42415534.08195455,24420937.945823647
2022-09-01,31723374.98401577,42020613.2955871,23514797.130944863
2022-10-01,32612638.07238009,44415070.46608281,19944115.491236392
2022-11-01,32003703.836103234,42745159.106935,21697811.68742655
2022-12-01,31379638.15529463,41812668.49558652,26425199.277701244
2023-01-01,31630812.628047224,42787116.70914598,25054373.75122767
2023-02-01,29082618.511843584,38521286.797625296,30240631.361941047
2023-03-01,30900021.96957781,42508660.52928167,26123460.801443364
2023-04-01,29598821.839300264,41572064.87209729,22912075.626192737
2023-05-01,30124224.32795274,38538675.4990202,34395237.20443199
2023-06-01,27237495.243722077,37125084.478499256,29405011.150755886
2023-07-01,27557275.931235146,37351052.17016388,32761233.98614819
2023-08-01,28802645.49004533,39288932.87814261,33427012.708904088
2023-09-01,29930890.62699174,36330613.03686647,46944502.962654896
2023-10-01,29102444.967193626,32947917.20003085,49570508.57215868
2023-11-01,28126596.893209957,38727436.58283244,31525358.90163818
2023-12-01,27948339.29535846,33036929.91559333,47521397.957257435
2024-01-01,24673536.277556427,0.0,0.0
2024-02-01,22355304.15474734,0.0,0.0
2024-03-01,23722313.511972003,0.0,0.0
2024-04-01,21973617.929821864,0.0,0.0
2024-05-01,22783991.89750783,0.0,0.0
2024-06-01,20550174.767299052,0.0,0.0
2024-07-01,21874569.42193009,0.0,0.0
2024-08-01,22768958.83092626,0.0,0.0
2024-09-01,21916556.84795152,0.0,0.0
2024-10-01,20487667.984887056,0.0,0.0
2024-11-01,19159013.747388694,0.0,0.0
2024-12-01,19884007.05400416,0.0,0.0
