date,Nacional
2000-01-01,884.252935483871
2000-02-01,981.5983793103447
2000-03-01,1088.701935483871
2000-04-01,998.9950000000001
2000-05-01,1723.73
2000-06-01,1375.755
2000-07-01,1126.2835483870967
2000-08-01,1248.443225806452
2000-09-01,1118.5696666666665
2000-10-01,977.8412903225806
2000-11-01,1048.7816666666668
2000-12-01,783.619696394687
2001-01-01,539.6709677419356
2001-02-01,487.2446428571429
2001-03-01,792.7690322580645
2001-04-01,732.1716666666665
2001-05-01,1082.5441935483868
2001-06-01,1367.031
2001-07-01,1059.5283870967744
2001-08-01,1115.2525806451613
2001-09-01,935.6970000000001
2001-10-01,781.3164516129032
2001-11-01,1052.345
2001-12-01,1615.1581451612903
2002-01-01,730.72
2002-02-01,527.3714285714286
2002-03-01,826.8264516129032
2002-04-01,1696.4249999999997
2002-05-01,1805.1361290322582
2002-06-01,2371.3666666666663
2002-07-01,1857.036451612903
2002-08-01,1692.191935483871
2002-09-01,1264.9286666666667
2002-10-01,1299.9512903225807
2002-11-01,1301.1443000000002
2002-12-01,1139.8666774193548
2003-01-01,600.1815774193548
2003-02-01,603.3608714285713
2003-03-01,785.6370741935484
2003-04-01,1424.8493
2003-05-01,1994.2841290322579
2003-06-01,1857.6583666666666
2003-07-01,1897.6686774193545
2003-08-01,1440.5006451612903
2003-09-01,1513.0486333333333
2003-10-01,1887.5750322580645
2003-11-01,1812.5324999999998
2003-12-01,1582.1754838709678
2004-01-01,1015.2290322580643
2004-02-01,659.2813793103448
2004-03-01,800.4751612903226
2004-04-01,1472.6887
2004-05-01,1908.7633548387098
2004-06-01,2278.0936666666666
2004-07-01,1771.4392903225803
2004-08-01,1732.333677419355
2004-09-01,1458.7115333333334
2004-10-01,1614.561
2004-11-01,2066.932866666667
2004-12-01,1447.663935483871
2005-01-01,1077.8112903225806
2005-02-01,1237.593357142857
2005-03-01,1031.7641935483873
2005-04-01,1538.7875
2005-05-01,1968.1382903225806
2005-06-01,1966.199933333333
2005-07-01,1538.096
2005-08-01,1546.7450000000001
2005-09-01,1523.8857
2005-10-01,1980.7044193548386
2005-11-01,2237.3164666666667
2005-12-01,1614.0878709677422
2006-01-01,1260.4601935483872
2006-02-01,1094.8345714285715
2006-03-01,1675.753806451613
2006-04-01,2125.725966666667
2006-05-01,2339.684967741936
2006-06-01,2363.2664
2006-07-01,1935.0271612903225
2006-08-01,1425.2477096774192
2006-09-01,1361.7676666666669
2006-10-01,1617.1746129032258
2006-11-01,2078.0477
2006-12-01,1831.2145483870968
2007-01-01,1054.0819032258064
2007-02-01,616.6976785714285
2007-03-01,1021.9474838709677
2007-04-01,2018.8129666666664
2007-05-01,2465.4943870967745
2007-06-01,2818.833433333334
2007-07-01,1846.6435806451614
2007-08-01,1864.719419354839
