date,Generacion
2011-09-01,37853409.88540409
2011-10-01,39889917.50076206
2011-11-01,41184799.996198975
2011-12-01,42709573.59008504
2012-01-01,42702839.09231439
2012-02-01,39785761.60906635
2012-03-01,42472436.63123662
2012-04-01,39948556.42061482
2012-05-01,44572502.0162009
2012-06-01,42972340.05699884
2012-07-01,43433372.16094703
2012-08-01,42997013.94958071
2012-09-01,42242949.33747635
2012-10-01,41190398.528490916
2012-11-01,42970788.48155701
2012-12-01,39480145.78852772
2013-01-01,40910212.7956818
2013-02-01,35863246.47380136
2013-03-01,40545400.37428475
2013-04-01,40324301.46790067
2013-05-01,41394356.87149614
2013-06-01,39721480.274916254
2013-07-01,41150234.013343856
2013-08-01,40781897.25287359
2013-09-01,40474411.22215691
2013-10-01,40133508.10917262
2013-11-01,38564490.180717126
2013-12-01,40510965.44137835
2014-01-01,40530975.607723296
2014-02-01,37857752.48172712
2014-03-01,41458935.282809965
2014-04-01,39488244.71694884
2014-05-01,41412669.64516728
2014-06-01,39310545.59723005
2014-07-01,42256602.171774216
2014-08-01,41543346.54112109
2014-09-01,41426753.101160176
2014-10-01,41383234.01440009
2014-11-01,41052161.28010858
2014-12-01,41217659.55746713
2015-01-01,38016812.20726753
2015-02-01,36183130.05869004
2015-03-01,39443270.97468688
2015-04-01,36675880.451129965
2015-05-01,38762764.53727441
2015-06-01,35300444.28478435
2015-07-01,38400259.5256961
2015-08-01,39880995.427055426
2015-09-01,38361375.43323603
2015-10-01,37064678.5737769
2015-11-01,34970744.71089428
2015-12-01,37866657.95432758
2016-01-01,41675054.15811313
2016-02-01,39545578.762155555
2016-03-01,36621750.44322143
2016-04-01,35058584.68039097
2016-05-01,38258186.27241305
2016-06-01,36974983.87233727
2016-07-01,38168115.92293553
2016-08-01,40041816.08296719
2016-09-01,37514011.132332586
2016-10-01,36852832.39660979
2016-11-01,37268509.668652244
2016-12-01,38804870.96916623
2017-01-01,38865954.12573816
2017-02-01,36281401.211569406
2017-03-01,37670127.14613972
2017-04-01,36949179.07145164
2017-05-01,40188747.6841207
2017-06-01,38104010.68258133
2017-07-01,39554745.431744225
2017-08-01,39953640.071873404
2017-09-01,38112835.84412338
2017-10-01,37529813.412745774
2017-11-01,35681430.928320214
2017-12-01,37343271.05363489
2018-01-01,36405871.331477255
2018-02-01,33702196.91615288
2018-03-01,36330734.82750212
2018-04-01,35408621.83435154
2018-05-01,36571518.288521856
2018-06-01,34864868.37936218
2018-07-01,33542605.902353395
2018-08-01,33864240.17647683
2018-09-01,33250686.840375192
2018-10-01,32816394.996280972
2018-11-01,31811088.279222332
2018-12-01,29701090.416101374
2019-01-01,32781890.605625644
2019-02-01,29998461.892198063
2019-03-01,33742827.47166077
2019-04-01,33365657.976701528
2019-05-01,34921835.37084661
2019-06-01,33599708.60888711
2019-07-01,35929767.94988069
2019-08-01,36963178.01559183
2019-09-01,35229610.61433844
2019-10-01,34932935.59824749
2019-11-01,32956550.0939256
2019-12-01,32864689.407944277
2020-01-01,32992941.81421951
2020-02-01,31977251.80573936
2020-03-01,32969613.500033595
2020-04-01,28272066.70664178
2020-05-01,30531720.640527256
2020-06-01,28366221.80537399
2020-07-01,32028714.778197087
2020-08-01,33250013.293600228
2020-09-01,32097989.028989863
2020-10-01,34260966.22380813
2020-11-01,34530391.11042764
2020-12-01,33431636.51125899
2021-01-01,32672693.60356604
2021-02-01,29401334.246897202
2021-03-01,32614682.8797727
2021-04-01,31585675.57986459
2021-05-01,35075718.66726983
2021-06-01,33713146.7344447
2021-07-01,34688036.47252335
2021-08-01,34958499.706020564
2021-09-01,35522889.16318037
2021-10-01,35679827.746740684
2021-11-01,34690717.55194985
2021-12-01,33329168.133442894
2022-01-01,32781802.77406778
2022-02-01,30577123.148334652
2022-03-01,33856307.34170575
2022-04-01,34310765.22748342
2022-05-01,34921678.56772111
2022-06-01,32254615.964615706
2022-07-01,33273192.169998445
2022-08-01,32807964.98615933
2022-09-01,31723374.98401577
2022-10-01,32612638.07238009
2022-11-01,32003703.836103234
2022-12-01,31379638.15529463
2023-01-01,31630812.628047224
2023-02-01,29082618.511843584
2023-03-01,30900021.96957781
2023-04-01,29598821.839300264
2023-05-01,30124224.32795274
2023-06-01,27237495.243722077
2023-07-01,27557275.931235146
2023-08-01,28802645.49004533
2023-09-01,29930890.62699174
2023-10-01,29102444.967193626
2023-11-01,28126596.893209957
2023-12-01,27948339.29535846
2024-01-01,24673536.277556427
2024-02-01,22355304.15474734
2024-03-01,23722313.511972003
2024-04-01,21973617.929821864
2024-05-01,22783991.89750783
2024-06-01,20550174.767299052
2024-07-01,21874569.42193009
2024-08-01,22768958.83092626
2024-09-01,21916556.84795152
2024-10-01,20487667.984887056
2024-11-01,19159013.747388694
2024-12-01,19884007.05400416
